"image","type","name","rankingPosition","priceLevel","category","rating","phone","address","email","webUrl","website","rankingDenominator","rankingString","numberOfReviews"
"https://media-cdn.tripadvisor.com/media/photo-o/10/9c/7a/38/photo4jpg.jpg","RESTAURANT","Thai Phutakun","181","$$ - $$$","restaurant","4.5","+31 20 428 1887","Reguliersdwarsstraat 11, 1017 BJ Amsterdam The Netherlands",,"https://www.tripadvisor.com/Restaurant_Review-g188590-d3589514-Reviews-Thai_Phutakun-Amsterdam_North_Holland_Province.html","http://phutakun.nl/","3991","#181 of 6,342 places to eat in Amsterdam","671"
"https://media-cdn.tripadvisor.com/media/photo-o/12/70/f7/f4/cakes-from-patisserie.jpg","RESTAURANT","Rijksmuseum Cafe","709","$$ - $$$","restaurant","4","+31 20 674 7044","Museumstraat 1, 1071 XX Amsterdam The Netherlands","reserverencafe@rijksmuseum.nl","https://www.tripadvisor.com/Restaurant_Review-g188590-d4562370-Reviews-Rijksmuseum_Cafe-Amsterdam_North_Holland_Province.html","http://www.rijksmuseum.nl/nl/bezoek/praktische-info/het-cafe","5255","#709 of 5,255 Restaurants in Amsterdam","1419"
"https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/58/6e/c4/mushrooms-scallops.jpg","RESTAURANT","Hearth","28","$$ - $$$","restaurant","5","+31 6 19284170","Camperstraat 24-26, 1091 AG Amsterdam The Netherlands","info@hearthamsterdam.com","https://www.tripadvisor.com/Restaurant_Review-g188590-d11699515-Reviews-Hearth-Amsterdam_North_Holland_Province.html","http://www.hearthamsterdam.com","5255","#28 of 5,255 Restaurants in Amsterdam","415"
"https://media-cdn.tripadvisor.com/media/photo-o/11/28/0c/cd/photo1jpg.jpg","RESTAURANT","Bakers & Roasters","121","$$ - $$$","restaurant","4.5",,"Kadijksplein 16, 1018 AC Amsterdam The Netherlands","kadijks@bakersandroasters.com","https://www.tripadvisor.com/Restaurant_Review-g188590-d8863669-Reviews-Bakers_Roasters-Amsterdam_North_Holland_Province.html","http://www.bakersandroasters.com","5255","#121 of 5,255 Restaurants in Amsterdam","701"
"https://media-cdn.tripadvisor.com/media/photo-o/1b/73/42/36/de-ark.jpg","RESTAURANT","Restaurant Gary Loen","568","$$ - $$$","restaurant","5","+31 6 34065635","Moermanskkade 4, 1013 BC Amsterdam The Netherlands","info@restaurantgaryloen.nl","https://www.tripadvisor.com/Restaurant_Review-g188590-d14975975-Reviews-Restaurant_Gary_Loen-Amsterdam_North_Holland_Province.html","http://www.restaurantgaryloen.nl","5255","#568 of 5,255 Restaurants in Amsterdam","55"
"https://media-cdn.tripadvisor.com/media/photo-m/1280/27/06/f7/d5/this-is-our-amazing-bar.jpg","RESTAURANT","Lillie Wine Rebel","294","$$ - $$$","restaurant","4.5","+31 20 776 4746","Van Breestraat 107A, 1071 ZJ Amsterdam The Netherlands","info@lilliewinerebel.nl","https://www.tripadvisor.com/Restaurant_Review-g188590-d21091790-Reviews-Lillie_Wine_Rebel-Amsterdam_North_Holland_Province.html","http://www.lilliewinerebel.nl","5255","#294 of 5,255 Restaurants in Amsterdam","102"
"https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/4b/1d/fb/inside-lepita.jpg","RESTAURANT","Lepita","144","$$ - $$$","restaurant","5","+31 20 786 8609","Kastelenstraat 265, 1082 EG Amsterdam The Netherlands","eat@lepita.nl","https://www.tripadvisor.com/Restaurant_Review-g188590-d27133130-Reviews-Lepita-Amsterdam_North_Holland_Province.html","https://www.facebook.com/profile.php?id=61556078550835","3991","#144 of 6,342 places to eat in Amsterdam","58"
"https://media-cdn.tripadvisor.com/media/photo-m/1280/1a/02/0b/32/chicano-it-is.jpg","RESTAURANT","The Happy Bull","71","$$ - $$$","restaurant","4.5","+31 20 363 6606","Hoofddorpweg 9H, 1059 CS Amsterdam The Netherlands","info@thehappybull.nl","https://www.tripadvisor.com/Restaurant_Review-g188590-d10275170-Reviews-The_Happy_Bull-Amsterdam_North_Holland_Province.html","http://www.thehappybull.nl/#reservation","3991","#71 of 6,342 places to eat in Amsterdam","751"
"https://media-cdn.tripadvisor.com/media/photo-m/1280/14/5f/a4/15/divas.jpg","RESTAURANT","Pasta e Basta","188","$$ - $$$","restaurant","4.5","+31 20 422 2222","Nieuwe Spiegelstraat 8, 1017 DE Amsterdam The Netherlands","amsterdam@pastaebasta.nl","https://www.tripadvisor.com/Restaurant_Review-g188590-d696983-Reviews-Pasta_e_Basta-Amsterdam_North_Holland_Province.html","https://www.facebook.com/PastaeBastaAmsterdam/","5255","#188 of 5,255 Restaurants in Amsterdam","1221"
"https://media-cdn.tripadvisor.com/media/photo-o/11/ef/3f/fd/impression.jpg","RESTAURANT","CHANG-I","463","$$$$","restaurant","4.5","+31 20 470 1700","Jan Willem Brouwerstraat 7, 1071 LH Amsterdam The Netherlands","info@chang-i.nl","https://www.tripadvisor.com/Restaurant_Review-g188590-d1425816-Reviews-CHANG_I-Amsterdam_North_Holland_Province.html","http://www.chang-i.nl","5255","#463 of 5,255 Restaurants in Amsterdam","272"
